id	label_en	synonym_en	label_ja	synonym_ja
E103			１型糖尿病黄斑症	
O240			１型糖尿病合併妊娠	
E101			１型糖尿病性アシドーシス	
E101			１型糖尿病性アセトン血症	
E106			１型糖尿病性胃腸症	
B372			カンジダ性間擦疹	
B374			カンジダ性亀頭炎	
B375			カンジダ性髄膜炎	
B372			カンジダ性肉芽腫	
B374			カンジダ性尿道炎	
B377			カンジダ性敗血症	
B374			カンジダ性膀胱炎	
Q932			環状２０番染色体症候群	
H250			冠状加齢性白内障	
L532			環状紅斑	
M4642			頚椎椎間板炎	
M509			頚椎椎間板症	
M501			頚椎椎間板ヘルニアによる神経根症	
M500			頚椎椎間板ヘルニアによる脊髄症	
S1291			頚椎椎弓開放骨折	
S1290			頚椎椎弓骨折	
S1291			頚椎椎体開放骨折	
D868			サルコイド心筋炎	
D868			サルコイドミオパチー	
E725			サルコシン血症	
A078			サルコスポリジウム症	
A078			サルコチスティス症	
M6259			サルコペニア	
B04			サル痘	
T486			サルブタモール中毒	
