ICD-10	ICD-10_group	disease_control_number	disease_name
E250		20100524	１１β－水酸化酵素欠損症
E250		20100530	１７α－水酸化酵素欠損症
Q561		20103377	１７β－ヒドロキシステロイド脱水素酵素欠損症
E250		20100527	１８－水酸化酵素欠損症
Q935		20101041	１８ｑ欠失症候群
Q913		20050004	１８常染色体異常
Q935		20101149	１ｐ３６欠失症候群
Q878		20102695	１ｑ部分重複症候群
J9690		20102497	１型呼吸不全
K861		20100245	１型自己免疫性膵炎
E10		20083022	１型糖尿病
E106		20085414	１型糖尿病・関節合併症あり
E103		20085411	１型糖尿病・眼合併症あり
E101		20085409	１型糖尿病・ケトアシドーシス合併あり
E100		20085408	１型糖尿病・昏睡合併あり
E104		20085412	１型糖尿病・神経学的合併症あり
E102		20085410	１型糖尿病・腎合併症あり
E107		20085416	１型糖尿病・多発糖尿病性合併症あり
E106		20085415	１型糖尿病・糖尿病性合併症あり
E109		20085417	１型糖尿病・糖尿病性合併症なし
E105		20085413	１型糖尿病・末梢循環合併症あり
E103	H360	20093026	１型糖尿病黄斑症
O240		20083646	１型糖尿病合併妊娠
E101		20093027	１型糖尿病性アシドーシス
E101	R798	20093028	１型糖尿病性アセトン血症
E106	K938	20095009	１型糖尿病性胃腸症
E105		20088188	１型糖尿病性壊疽
E103	H360	20090011	１型糖尿病性黄斑浮腫
E105	L984	20093029	１型糖尿病性潰瘍
E106	K778	20093030	１型糖尿病性肝障害
E106	M142	20093031	１型糖尿病性関節症
E103	H588	20093032	１型糖尿病性眼筋麻痺
E104	G730	20093033	１型糖尿病性筋萎縮症
E105	I792	20093034	１型糖尿病性血管障害
E101		20096984	１型糖尿病性ケトーシス
E101		20083655	１型糖尿病性ケトアシドーシス
E106		20103262	１型糖尿病性高血糖高浸透圧症候群
E106	E780	20093039	１型糖尿病性高コレステロール血症
E103	H221	20093040	１型糖尿病性虹彩炎
E106	M908	20093042	１型糖尿病性骨症
E100		20083653	１型糖尿病性昏睡
E104	N312	20093043	１型糖尿病性神経因性膀胱
E104	G632	20093044	１型糖尿病性神経痛
E104	G990	20093045	１型糖尿病性自律神経ニューロパチー
E102	N083	20093049	１型糖尿病性腎硬化症
E102	N083	20083649	１型糖尿病性腎症
E102	N083	20090044	１型糖尿病性腎症第１期
E102	N083	20090045	１型糖尿病性腎症第２期
E102	N083	20090046	１型糖尿病性腎症第３期
E102	N083	20090047	１型糖尿病性腎症第３期Ａ
E102	N083	20090048	１型糖尿病性腎症第３期Ｂ
E102	N083	20090049	１型糖尿病性腎症第４期
E102	N083	20090050	１型糖尿病性腎症第５期
E102	N083	20093050	１型糖尿病性腎不全
E106	L14	20091936	１型糖尿病性水疱
E106	F068	20093051	１型糖尿病性精神障害
E106	L298	20093052	１型糖尿病性そう痒症
E104	G632	20093046	１型糖尿病性多発ニューロパチー
E104	G590	20093047	１型糖尿病性単ニューロパチー
E103	H360	20093041	１型糖尿病性中心性網膜症
E100		20093053	１型糖尿病性低血糖性昏睡
E105	I798	20093037	１型糖尿病性動脈硬化症
E105	I798	20093038	１型糖尿病性動脈閉塞症
E104	G590	20083657	１型糖尿病性ニューロパチー
E103	H280	20090714	１型糖尿病性白内障
E106	L998	20093054	１型糖尿病性皮膚障害
E106	L998	20091938	１型糖尿病性浮腫性硬化症
E105	I792	20093035	１型糖尿病性末梢血管症
E105	I792	20093036	１型糖尿病性末梢血管障害
E104	G632	20093048	１型糖尿病性末梢神経障害
E103	H360	20083652	１型糖尿病性網膜症
N258		20097589	１型尿細管性アシドーシス
D551		20050239	Ｉ型溶血性非球状赤血球性貧血
A300		20050237	Ｉ群ハンセン病
D460		20098096	１系統に異形成を伴う不応性血球減少症
R942		20050006	１秒率低下
R942		20050007	１秒量低下
E250		20092641	２１－水酸化酵素欠損症
Q938		20095677	２２ｑ１１．２欠失症候群
J9691		20102506	２型呼吸不全
Q779		20103451	２型コラーゲン異常症関連疾患
K861		20100247	２型自己免疫性膵炎
E11		20050020	２型糖尿病
E116		20085424	２型糖尿病・関節合併症あり
E113		20085421	２型糖尿病・眼合併症あり
E111		20085419	２型糖尿病・ケトアシドーシス合併あり
E110		20085418	２型糖尿病・昏睡合併あり
E114		20085422	２型糖尿病・神経学的合併症あり
E112		20085420	２型糖尿病・腎合併症あり
E117		20085426	２型糖尿病・多発糖尿病性合併症あり
E116		20085425	２型糖尿病・糖尿病性合併症あり
E119		20085427	２型糖尿病・糖尿病性合併症なし
E115		20085423	２型糖尿病・末梢循環合併症あり
E113	H360	20093055	２型糖尿病黄斑症
O241		20083656	２型糖尿病合併妊娠
E111		20093056	２型糖尿病性アシドーシス
E111	R798	20093057	２型糖尿病性アセトン血症
E116	K938	20100339	２型糖尿病性胃腸症
E115		20088189	２型糖尿病性壊疽
E113	H360	20090012	２型糖尿病性黄斑浮腫
E115	L984	20093058	２型糖尿病性潰瘍
E116	K778	20093059	２型糖尿病性肝障害
E116	M142	20093060	２型糖尿病性関節症
E113	H588	20093061	２型糖尿病性眼筋麻痺
E114	G730	20093062	２型糖尿病性筋萎縮症
E115	I792	20093063	２型糖尿病性血管障害
E111		20096985	２型糖尿病性ケトーシス
E111		20083648	２型糖尿病性ケトアシドーシス
E116		20103261	２型糖尿病性高血糖高浸透圧症候群
E116	E780	20093068	２型糖尿病性高コレステロール血症
E113	H221	20093069	２型糖尿病性虹彩炎
E116	M908	20093071	２型糖尿病性骨症
E110		20083651	２型糖尿病性昏睡
E114	N312	20093072	２型糖尿病性神経因性膀胱
E114	G632	20093073	２型糖尿病性神経痛
E114	G990	20093074	２型糖尿病性自律神経ニューロパチー
E112	N083	20093078	２型糖尿病性腎硬化症
E112	N083	20083650	２型糖尿病性腎症
E112	N083	20090051	２型糖尿病性腎症第１期
E112	N083	20090052	２型糖尿病性腎症第２期
E112	N083	20090053	２型糖尿病性腎症第３期
E112	N083	20090054	２型糖尿病性腎症第３期Ａ
E112	N083	20090055	２型糖尿病性腎症第３期Ｂ
E112	N083	20090056	２型糖尿病性腎症第４期
E112	N083	20090057	２型糖尿病性腎症第５期
E112	N083	20093079	２型糖尿病性腎不全
E116	L14	20091942	２型糖尿病性水疱
E116	F068	20093080	２型糖尿病性精神障害
E116	L298	20093081	２型糖尿病性そう痒症
E114	G632	20093075	２型糖尿病性多発ニューロパチー
E114	G590	20093076	２型糖尿病性単ニューロパチー
E113	H360	20093070	２型糖尿病性中心性網膜症
E110		20093082	２型糖尿病性低血糖性昏睡
E115	I798	20093066	２型糖尿病性動脈硬化症
E115	I798	20093067	２型糖尿病性動脈閉塞症
E114	G590	20083644	２型糖尿病性ニューロパチー
E113	H280	20090718	２型糖尿病性白内障
E116	L998	20093083	２型糖尿病性皮膚障害
E116	L998	20091944	２型糖尿病性浮腫性硬化症
E115	I792	20093064	２型糖尿病性末梢血管症
E115	I792	20093065	２型糖尿病性末梢血管障害
E114	G632	20093077	２型糖尿病性末梢神経障害
E114	G736	20083654	２型糖尿病性ミオパチー
E113	H360	20083647	２型糖尿病性網膜症
N258		20097552	２型尿細管性アシドーシス
D552		20050225	ＩＩ型溶血性非球状赤血球性貧血
E711		20097753	３－メチルグルタコン酸尿症
E250		20100533	３β－水酸化ステロイド脱水素酵素欠損症
Q991		20050025	４６ＸＸ真性半陰陽
Q562		20103381	４６ＸＸ性分化疾患
Q991		20103382	４６ＸＸ卵精巣性性分化疾患
Q561		20103374	４６ＸＹ性分化疾患
Q933		20101151	４ｐ欠失症候群
E274		20097618	４型尿細管性アシドーシス
H534		20050030	４分の１半盲
T888		20087712	４分の３冠過高
T888		20089233	４分の３冠粗造
T888		20089201	４分の３冠脱離
T888		20089229	４分の３冠低位
T888		20087714	４分の３冠破損
T888		20087718	４分の３冠不適合
E291		20050033	５－アルファ還元酵素欠損症
Q934		20101157	５ｐ欠失症候群
D466		20098113	５ｑ－症候群
E291		20103375	５アルファ－還元酵素欠損症
T888		20087724	５分の４冠過高
T888		20089177	５分の４冠粗造
T888		20089166	５分の４冠脱離
T888		20089179	５分の４冠低位
T888		20087726	５分の４冠破損
T888		20087730	５分の４冠不適合
Q878		20102696	９ｑ３４欠失症候群
P551		20050044	ＡＢＯ因子不適合
T803		20050045	ＡＢＯ因子不適合輸血
P551		20050049	ＡＢＯ溶血性疾患
E240		20050051	ＡＣＴＨ産生下垂体腺腫
E240		20084213	ＡＣＴＨ産生腫瘍
E230		20050053	ＡＣＴＨ単独欠損症
E230		20095308	ＡＣＴＨ分泌低下症
Z951		20050056	ＡＣバイパス術後
T822		20080612	ＡＣバイパス術後機械的合併症
D898		20102894	ＡＤＡ２欠損症
D813		20050057	ＡＤＡ欠乏症
R947		20050058	ＡＤＨ異常
R772		20093123	ＡＦＰ高値
E858		20094877	ＡＨアミロイドーシス
B24		20050063	ＡＩＤＳ
B24		20050065	ＡＩＤＳ関連症候群
R75		20050066	ＡＩＤＳ検査陽性
C847		20098093	ＡＬＫ陰性未分化大細胞リンパ腫
C349		20098126	ＡＬＫ融合遺伝子陽性非小細胞肺癌
