NANDO	notification_number	disease_name_en	disease_name_synonym_en	disease_name_ja	disease_name_synonym_ja	Mondo
NANDO:1200001	1	[指定] Spinal and bulbar muscular atrophy	SBMA|Kennedy disease	[指定] 球脊髄性筋萎縮症	Kennedy-Alter-Sung症候群|KAS	MONDO:0010735|MONDO:0016113
NANDO:1200002	2	[指定] Amyotrophic lateral sclerosis	ALS	[指定] 筋萎縮性側索硬化症		MONDO:0004976
NANDO:1200003	3	[指定] Spinal muscular atrophy	SMA	[指定] 脊髄性筋萎縮症		MONDO:0001516
NANDO:1200008	4	[指定] Primary lateral sclerosis	PLS	[指定] 原発性側索硬化症		MONDO:0018155
NANDO:1200009	5	[指定] Progressive supranuclear palsy	PSP	[指定] 進行性核上性麻痺		MONDO:0019037
NANDO:1200010	6	[指定] Parkinson's disease	Parkinson disease|PD	[指定] パーキンソン病		MONDO:0005180
NANDO:1200011	7	[指定] Corticobasal degeneration	CBD	[指定] 大脳皮質基底核変性症		MONDO:0022308|MONDO:0022880
NANDO:1200012	8	[指定] Huntington's disease	Huntington disease	[指定] ハンチントン病		MONDO:0007739
NANDO:1200013	9	[指定] Neuroacanthocytosis		[指定] 神経有棘赤血球症		MONDO:0016987
NANDO:1200016	10	[指定] Charcot-Marie-Tooth disease	CMT	[指定] シャルコー・マリー・トゥース病		MONDO:0015626
NANDO:1200020	11	[指定] Myasthenia gravis	MG	[指定] 重症筋無力症		MONDO:0009688
NANDO:1200021	12	[指定] Congenital myasthenic syndrome	CMS	[指定] 先天性筋無力症候群		MONDO:0018940
NANDO:1200022	13	[指定] Multiple sclerosis/Neuromyelitis optica spectrum disorders	MS/NMOSD|Multiple sclerosis/Neuromyelitis optica|MS/NMO	[指定] 多発性硬化症／視神経脊髄炎		
NANDO:1200029	14	[指定] Chronic inflammatory demyelinating polyneuropathy/Multifocal motor neuropathy	CIDP/MMN	[指定] 慢性炎症性脱髄性多発神経炎／多巣性運動ニューロパチー		
NANDO:1200032	15	[指定] Sporadic inclusion body myositis	sIBM	[指定] 封入体筋炎		MONDO:0007827
NANDO:1200033	16	[指定] Crow-Fukase syndrome	POEMS syndrome|Polyneuropathy, organomegaly, endocrinopathy, M-protein, and skin changes syndrome	[指定] クロウ・深瀬症候群	POEMS症候群	MONDO:0017364
NANDO:1200034	17	[指定] Multiple system atrophy	MSA	[指定] 多系統萎縮症		MONDO:0007803
NANDO:1200037	18	[指定] Spinocerebellar degeneration	SCD	[指定] 脊髄小脳変性症		MONDO:0000437
NANDO:1200055	19	[指定] Lysosomal storage disease		[指定] ライソゾーム病		MONDO:0002561
NANDO:1200165	20	[指定] Adrenoleukodystrophy		[指定] 副腎白質ジストロフィー		MONDO:0018544
NANDO:1200173	21	[指定] Mitochondrial diseases		[指定] ミトコンドリア病	ミトコンドリア脳筋症	MONDO:0004069|MONDO:0044970
