SEARCH_KEY	PARENTS	HPO_ID	ET	JT
BIVENTRICULAR HEART WITH STRADDLING RIGHT SIDED ATRIOVENTRICULAR VALVE AND ABSENT LEFT SIDED ATRIOVENTRICULAR CONNECTION		HP:0011550	Biventricular heart with straddling right sided atrioventricular valve and absent left sided atrioventricular connection	跨座性右側房室弁と左側房室結合のない2心室心
COMPLETE OR NEAR-COMPLETE ABSENCE OF SPECIFIC ANTIBODY RESPONSE TO HAEMOPHILUS INFLUENZAE TYPE B (HIB) VACCINE		HP:0410303	Complete or near-complete absence of specific antibody response to Haemophilus influenzae type b (Hib) vaccine	
DOUBLE OUTLET RIGHT VENTRICLE WITH DOUBLY COMMITTED VENTRICULAR SEPTAL DEFECT WITHOUT PULMONARY STENOSIS		HP:0011652	Double outlet right ventricle with doubly committed ventricular septal defect without pulmonary stenosis	肺動弁狭窄のない両半月弁下型心室中隔欠損を伴う両大血管右室起始症
DOUBLE OUTLET RIGHT VENTRICLE WITH NON-COMMITTED VENTRICULAR SEPTAL DEFECT WITHOUT PULMONARY STENOSIS		HP:0011654	Double outlet right ventricle with non-committed ventricular septal defect without pulmonary stenosis	肺動脈弁狭窄のない遠位型心室中隔欠損を伴う両大血管右室起始症
DOUBLE OUTLET RIGHT VENTRICLE WITH SUBPULMONARY VENTRICULAR SEPTAL DEFECT WITHOUT PULMONARY STENOSIS		HP:0011658	Double outlet right ventricle with subpulmonary ventricular septal defect without pulmonary stenosis	肺動脈弁狭窄のない肺動脈弁下心室中隔欠損を伴う両大血管右室起始症
COMPLETE OR NEAR-COMPLETE ABSENCE OF SPECIFIC ANTIBODY RESPONSE TO UNCONJUGATED PNEUMOCOCCUS VACCINE		HP:0410300	Complete or near-complete absence of specific antibody response to unconjugated pneumococcus vaccine	
DOUBLE OUTLET RIGHT VENTRICLE WITH DOUBLY COMMITTED VENTRICULAR SEPTAL DEFECT AND PULMONARY STENOSIS		HP:0011651	Double outlet right ventricle with doubly committed ventricular septal defect and pulmonary stenosis	両半月弁下型心室中隔欠損と肺動弁狭窄を伴う両大血管右室起始症
FOCAL AUTONOMIC SEIZURE WITH EPIGASTRIC SENSATION/NAUSEA/VOMITING/OTHER GASTROINTESTINAL PHENOMENA		HP:0011159	Focal autonomic seizure with epigastric sensation/nausea/vomiting/other gastrointestinal phenomena	上腹部前兆
DOUBLE OUTLET RIGHT VENTRICLE WITH SUBAORTIC VENTRICULAR SEPTAL DEFECT WITHOUT PULMONARY STENOSIS		HP:0011656	Double outlet right ventricle with subaortic ventricular septal defect without pulmonary stenosis	肺動脈弁狭窄のない大動脈弁下心室中隔欠損を伴う両大血管右室起始症
DOUBLE OUTLET RIGHT VENTRICLE WITH NON-COMMITTED VENTRICULAR SEPTAL DEFECT AND PULMONARY STENOSIS		HP:0011653	Double outlet right ventricle with non-committed ventricular septal defect and pulmonary stenosis	遠位型心室中隔欠損と肺動脈弁狭窄を伴う両大血管右室起始症
肺動弁狭窄のない両半月弁下型心室中隔欠損を伴う両大血管右室起始症		HP:0011652	Double outlet right ventricle with doubly committed ventricular septal defect without pulmonary stenosis	肺動弁狭窄のない両半月弁下型心室中隔欠損を伴う両大血管右室起始症
肺動脈弁狭窄のない肺動脈弁下心室中隔欠損を伴う両大血管右室起始症		HP:0011658	Double outlet right ventricle with subpulmonary ventricular septal defect without pulmonary stenosis	肺動脈弁狭窄のない肺動脈弁下心室中隔欠損を伴う両大血管右室起始症
肺動脈弁狭窄のない大動脈弁下心室中隔欠損を伴う両大血管右室起始症		HP:0011656	Double outlet right ventricle with subaortic ventricular septal defect without pulmonary stenosis	肺動脈弁狭窄のない大動脈弁下心室中隔欠損を伴う両大血管右室起始症
DOUBLE OUTLET RIGHT VENTRICLE WITH SUBPULMONARY VENTRICULAR SEPTAL DEFECT AND PULMONARY STENOSIS		HP:0011657	Double outlet right ventricle with subpulmonary ventricular septal defect and pulmonary stenosis	肺動脈弁下心室中隔欠損と肺動脈弁狭窄を伴う両大血管右室起始症
EMG: DECREMENTAL RESPONSE OF COMPOUND MUSCLE ACTION POTENTIAL TO REPETITIVE NERVE STIMULATION		HP:0003403	EMG: decremental response of compound muscle action potential to repetitive nerve stimulation	筋電図: 反復性刺激への複合筋活動電位 (CMAP) の反応漸減
DOUBLE OUTLET RIGHT VENTRICLE WITH SUBAORTIC VENTRICULAR SEPTAL DEFECT AND PULMONARY STENOSIS		HP:0011655	Double outlet right ventricle with subaortic ventricular septal defect and pulmonary stenosis	大動脈弁下心室中隔欠損と肺動脈弁狭窄を伴う両大血管右室起始症
HAIR SHAFTS FLATTENED AT IRREGULAR INTERVALS AND TWISTED THROUGH 180 DEGREES ABOUT THEIR AXES		HP:0003329	Hair shafts flattened at irregular intervals and twisted through 180 degrees about their axes	不規則な間隔で軸に対して180度ねじれた平坦な毛髪軸
EMG: INCREMENTAL RESPONSE OF COMPOUND MUSCLE ACTION POTENTIAL TO REPETITIVE NERVE STIMULATION		HP:0030206	EMG: incremental response of compound muscle action potential to repetitive nerve stimulation	
PARTIAL ABSENCE OF SPECIFIC ANTIBODY RESPONSE TO HAEMOPHILUS INFLUENZAE TYPE B (HIB) VACCINE		HP:0410305	Partial absence of specific antibody response to Haemophilus influenzae type b (Hib) vaccine	
DECREASED GLYCOSYLTRANSFERASE O-FUCOSYLPEPTIDE 3-BETA-N-ACETYLGLUCOSAMINYLTRANSFERASE LEVEL		HP:0410349	Decreased glycosyltransferase O-Fucosylpeptide 3-Beta-N-Acetylglucosaminyltransferase level	
大動脈弁下心室中隔欠損と肺動脈弁狭窄を伴う両大血管右室起始症		HP:0011655	Double outlet right ventricle with subaortic ventricular septal defect and pulmonary stenosis	大動脈弁下心室中隔欠損と肺動脈弁狭窄を伴う両大血管右室起始症
肺動脈弁下心室中隔欠損と肺動脈弁狭窄を伴う両大血管右室起始症		HP:0011657	Double outlet right ventricle with subpulmonary ventricular septal defect and pulmonary stenosis	肺動脈弁下心室中隔欠損と肺動脈弁狭窄を伴う両大血管右室起始症
肺動脈弁狭窄のない遠位型心室中隔欠損を伴う両大血管右室起始症		HP:0011654	Double outlet right ventricle with non-committed ventricular septal defect without pulmonary stenosis	肺動脈弁狭窄のない遠位型心室中隔欠損を伴う両大血管右室起始症
両半月弁下型心室中隔欠損と肺動弁狭窄を伴う両大血管右室起始症		HP:0011651	Double outlet right ventricle with doubly committed ventricular septal defect and pulmonary stenosis	両半月弁下型心室中隔欠損と肺動弁狭窄を伴う両大血管右室起始症
"代謝滴に活性のある脂肪組織のほぼ完全な欠損 (皮下, 腹内, 胸内)"		HP:0003809	Reduced intrathoracic adipose tissue	代謝滴に活性のある脂肪組織のほぼ完全な欠損 (皮下, 腹内, 胸内)
CONGENITALLY CORRECTED TRANSPOSITION OF THE GREAT ARTERIES WITH VENTRICULAR SEPTAL DEFECT		HP:0011605	Congenitally corrected transposition of the great arteries with ventricular septal defect	心室中隔欠損を伴う先天性修正大血管転位
COMPLETE OR NEAR-COMPLETE ABSENCE OF SPECIFIC ANTIBODY RESPONSE TO MENINGOCOCCUS VACCINE		HP:0410304	Complete or near-complete absence of specific antibody response to meningococcus vaccine	
代謝滴に活性のある脂肪組織のほぼ完全な欠損 (皮下, 腹内, 胸内)	24	HP:0003809	Reduced intrathoracic adipose tissue	代謝滴に活性のある脂肪組織のほぼ完全な欠損 (皮下, 腹内, 胸内)
TETRALOGY OF FALLOT WITH PULMONARY ATRESIA AND MAJOR AORTOPULMONARY COLLATERAL ARTERIES		HP:0011678	Tetralogy of Fallot with pulmonary atresia and major aortopulmonary collateral arteries	肺動脈弁閉鎖と主大動脈肺側副動脈を伴うFallot 四徴症
A NEUROLOGICAL DISORDER MARKED BY A SUDDEN RECURRENT UNCONTROLLABLE COMPULSION TO SLEEP		HP:0002330	Paroxysmal drowsiness	発作性眠気
