id	label_en	synonym_en	label_ja	synonym_ja
E250			１１β−水酸化酵素欠損症	
E250			１７α−水酸化酵素欠損症	
Q561			１７β−ヒドロキシステロイド脱水素酵素欠損症	
E250			１８−水酸化酵素欠損症	
Q935			１８ｑ欠失症候群	
Q913			１８常染色体異常	
Q935			１ｐ３６欠失症候群	
Q878			１ｑ部分重複症候群	
J9690			１型呼吸不全	
K861			１型自己免疫性膵炎	
E10			１型糖尿病	
E106			１型糖尿病・関節合併症あり	
E103			１型糖尿病・眼合併症あり	
E101			１型糖尿病・ケトアシドーシス合併あり	
E100			１型糖尿病・昏睡合併あり	
E104			１型糖尿病・神経学的合併症あり	
E102			１型糖尿病・腎合併症あり	
E107			１型糖尿病・多発糖尿病性合併症あり	
E106			１型糖尿病・糖尿病性合併症あり	
E109			１型糖尿病・糖尿病性合併症なし	
E105			１型糖尿病・末梢循環合併症あり	
E103			１型糖尿病黄斑症	
O240			１型糖尿病合併妊娠	
E101			１型糖尿病性アシドーシス	
E101			１型糖尿病性アセトン血症	
E106			１型糖尿病性胃腸症	
E105			１型糖尿病性壊疽	
E103			１型糖尿病性黄斑浮腫	
E105			１型糖尿病性潰瘍	
E106			１型糖尿病性肝障害	
E106			１型糖尿病性関節症	
E103			１型糖尿病性眼筋麻痺	
E104			１型糖尿病性筋萎縮症	
E105			１型糖尿病性血管障害	
E101			１型糖尿病性ケトーシス	
E101			１型糖尿病性ケトアシドーシス	
E106			１型糖尿病性高血糖高浸透圧症候群	
E106			１型糖尿病性高コレステロール血症	
E103			１型糖尿病性虹彩炎	
E106			１型糖尿病性骨症	
E100			１型糖尿病性昏睡	
E104			１型糖尿病性神経因性膀胱	
E104			１型糖尿病性神経痛	
E104			１型糖尿病性自律神経ニューロパチー	
E102			１型糖尿病性腎硬化症	
E102			１型糖尿病性腎症	
E102			１型糖尿病性腎症第１期	
E102			１型糖尿病性腎症第２期	
E102			１型糖尿病性腎症第３期	
E102			１型糖尿病性腎症第３期Ａ	
E102			１型糖尿病性腎症第３期Ｂ	
E102			１型糖尿病性腎症第４期	
E102			１型糖尿病性腎症第５期	
E102			１型糖尿病性腎不全	
E106			１型糖尿病性水疱	
E106			１型糖尿病性精神障害	
E106			１型糖尿病性そう痒症	
E104			１型糖尿病性多発ニューロパチー	
E104			１型糖尿病性単ニューロパチー	
E103			１型糖尿病性中心性網膜症	
E100			１型糖尿病性低血糖性昏睡	
E105			１型糖尿病性動脈硬化症	
E105			１型糖尿病性動脈閉塞症	
E104			１型糖尿病性ニューロパチー	
E103			１型糖尿病性白内障	
E106			１型糖尿病性皮膚障害	
E106			１型糖尿病性浮腫性硬化症	
E105			１型糖尿病性末梢血管症	
E105			１型糖尿病性末梢血管障害	
E104			１型糖尿病性末梢神経障害	
E103			１型糖尿病性網膜症	
N258			１型尿細管性アシドーシス	
D551			Ｉ型溶血性非球状赤血球性貧血	
A300			Ｉ群ハンセン病	
D460			１系統に異形成を伴う不応性血球減少症	
R942			１秒率低下	
R942			１秒量低下	
E250			２１−水酸化酵素欠損症	
Q938			２２ｑ１１．２欠失症候群	
J9691			２型呼吸不全	
Q779			２型コラーゲン異常症関連疾患	
K861			２型自己免疫性膵炎	
E11			２型糖尿病	
E116			２型糖尿病・関節合併症あり	
E113			２型糖尿病・眼合併症あり	
E111			２型糖尿病・ケトアシドーシス合併あり	
E110			２型糖尿病・昏睡合併あり	
E114			２型糖尿病・神経学的合併症あり	
E112			２型糖尿病・腎合併症あり	
E117			２型糖尿病・多発糖尿病性合併症あり	
E116			２型糖尿病・糖尿病性合併症あり	
E119			２型糖尿病・糖尿病性合併症なし	
E115			２型糖尿病・末梢循環合併症あり	
E113			２型糖尿病黄斑症	
O241			２型糖尿病合併妊娠	
E111			２型糖尿病性アシドーシス	
E111			２型糖尿病性アセトン血症	
E116			２型糖尿病性胃腸症	
E115			２型糖尿病性壊疽	
E113			２型糖尿病性黄斑浮腫	
E115			２型糖尿病性潰瘍	
E116			２型糖尿病性肝障害	
E116			２型糖尿病性関節症	
E113			２型糖尿病性眼筋麻痺	
E114			２型糖尿病性筋萎縮症	
E115			２型糖尿病性血管障害	
E111			２型糖尿病性ケトーシス	
E111			２型糖尿病性ケトアシドーシス	
E116			２型糖尿病性高血糖高浸透圧症候群	
E116			２型糖尿病性高コレステロール血症	
E113			２型糖尿病性虹彩炎	
E116			２型糖尿病性骨症	
E110			２型糖尿病性昏睡	
E114			２型糖尿病性神経因性膀胱	
E114			２型糖尿病性神経痛	
E114			２型糖尿病性自律神経ニューロパチー	
E112			２型糖尿病性腎硬化症	
E112			２型糖尿病性腎症	
E112			２型糖尿病性腎症第１期	
E112			２型糖尿病性腎症第２期	
E112			２型糖尿病性腎症第３期	
E112			２型糖尿病性腎症第３期Ａ	
E112			２型糖尿病性腎症第３期Ｂ	
E112			２型糖尿病性腎症第４期	
E112			２型糖尿病性腎症第５期	
E112			２型糖尿病性腎不全	
E116			２型糖尿病性水疱	
E116			２型糖尿病性精神障害	
E116			２型糖尿病性そう痒症	
E114			２型糖尿病性多発ニューロパチー	
E114			２型糖尿病性単ニューロパチー	
E113			２型糖尿病性中心性網膜症	
E110			２型糖尿病性低血糖性昏睡	
E115			２型糖尿病性動脈硬化症	
E115			２型糖尿病性動脈閉塞症	
E114			２型糖尿病性ニューロパチー	
E113			２型糖尿病性白内障	
E116			２型糖尿病性皮膚障害	
E116			２型糖尿病性浮腫性硬化症	
