id	label_en	synonym_en	label_ja	synonym_ja	OMIM	Orphanet
MONDO:0000001	disease	"diseases|medical condition|disease or disorder, non-neoplastic|disease or disorder|diseases and disorders|condition|disease|disorder|other disease|disorders"	疾患			Orphanet:377788
MONDO:0000004	adrenocortical insufficiency	hypoadrenalism|adrenal gland insufficiency|adrenal insufficiency|hypocortisolism|adrenal cortical hypofunction|hypocortisolemia|adrenocortical insufficiency|corticoadrenal insufficiency|adrenal cortical insufficiency	副腎皮質機能低下症	副腎皮質機能不全|副腎皮質機能低下		
MONDO:0000005	"alopecia, isolated"		"脱毛症, 孤立性"		OMIMPS:203655	
MONDO:0000009	"inherited bleeding disorder, platelet-type"		"遺伝性出血性障害, 血小板型"	"先天性出血性障害, 血小板型|遺伝性出血性疾患, 血小板型"	OMIMPS:231200	
MONDO:0000014	"colorblindness, partial"		"色盲, 部分"			
MONDO:0000015	classic complement early component deficiency	genetic deficiency of early component of the classical complement pathway	古典的補体早期成分欠損症			
MONDO:0000022	nocturnal enuresis	"sleep enuresis|enuresis, nocturnal|bedwetting"	夜尿症	夜間遺尿症		
MONDO:0000023	infantile liver failure	"infantile liver failure syndrome|liver failure, infantile|fever-associated acute infantile liver failure syndrome"	乳児肝不全		OMIMPS:615438	Orphanet:464724
MONDO:0000030	sleep-related hypermotor epilepsy	"epilepsy, nocturnal frontal lobe|sleep-related hypermotor epilepsy"	睡眠関連過運動てんかん		OMIMPS:600513	
MONDO:0000032	"febrile seizures, familial"	"seizures, familial febrile"	"熱性けいれん, 家族性"	"熱性痙攣, 家族性"	OMIMPS:121210	
MONDO:0000044	hereditary hypophosphatemic rickets	hereditary hypophosphatemic rickets	遺伝性低リン血性くる病		OMIMPS:193100	Orphanet:437
MONDO:0000045	"hypothyroidism, congenital, nongoitrous"		"甲状腺機能低下症, 先天性, 非甲状腺腫性"		OMIMPS:275200	
MONDO:0000050	isolated congenital growth hormone deficiency	non-acquired isolated growth hormone deficiency|ICGHD|familial isolated growth hormone deficiency|IGHD|congenital IGHD|congenital isolated GH deficiency|isolated growth hormone deficiency|congenital isolated growth hormone deficiency	先天性成長ホルモン単独欠損症		OMIMPS:262400	Orphanet:631
MONDO:0000060	microcephalic osteodysplastic primordial dwarfism		小頭性骨異形成性原発性小人症			
MONDO:0000062	isolated microphthalmia	"microphthalmia, isolated|nonsyndromic microphthalmia"	孤立性小眼球症		OMIMPS:251600	
MONDO:0000065	"microvascular complications of diabetes, susceptibility"	microvascular complications of diabetes	"糖尿病性細小血管合併症, 感受性"		OMIMPS:603933	
MONDO:0000066	mitochondrial complex deficiency		ミトコンドリア複合体欠損症			
MONDO:0000070	"mycobacterium tuberculosis, susceptibility"		"結核菌, 感受性"		OMIM:607948	
MONDO:0000078	acrocephalopolysyndactyly	ACPS	尖頭多合指症			
MONDO:0000079	"nephrolithiasis/osteoporosis, hypophosphatemic"		"腎結石症/骨粗鬆症, 低リン酸血症性"		OMIMPS:612286	
MONDO:0000082	pelvic organ prolapse		骨盤臓器脱			
MONDO:0000087	polymicrogyria		多小脳回	多小脳回症		Orphanet:35981
MONDO:0000088	precocious puberty	idiopathic sexual precocity|familial precocious puberty|pubertas praecox|sexual precocity	思春期早発症	性的早熟症		Orphanet:95708
MONDO:0000090	progressive external ophthalmoplegia with mitochondrial DNA deletions	progressive external ophthalmoplegia with mtDNA deletions	ミトコンドリアDNA欠失を伴う進行性外眼筋麻痺		OMIMPS:157640	
MONDO:0000093	"Schistosoma mansoni infection, susceptibility"		"マンソン住血吸虫感染症, 感受性"			
MONDO:0000104	"anemia, hypochromic microcytic with iron overload"	"anemia, hypochromic microcytic, with iron overload"	"鉄過剰症を伴う貧血, 低色素性小球性"		OMIMPS:206100	
MONDO:0000105	"anemia, nonspherocytic hemolytic"		"貧血, 非球状赤血球性溶血性"			
MONDO:0000107	auriculocondylar syndrome	question mark ear|dysgnathia complex|question-mark ear syndrome|ears prominent and constricted|question mark ear syndrome|auriculo-condylar syndrome	耳下顎関節頭症候群		OMIMPS:602483	Orphanet:137888
MONDO:0000108	"bacteremia, susceptibility"		"菌血症, 感受性"			
MONDO:0000110	bifid nose		鼻裂	鼻裂症		Orphanet:2695
MONDO:0000111	"camptodactyly syndrome, Guadalajara"		"屈指症候群, Guadalajara型"			
MONDO:0000114	cerebelloparenchymal disorder		小脳実質障害	小脳実質疾患		
MONDO:0000115	Chiari malformation	Chiari malformation|(Arnold) Chiari malformation|Arnold-Chiari malformation	キアリ奇形	Chiari奇形|アーノルド・キアリ奇形|Arnold-Chiari奇形		
MONDO:0000118	reticulate pigment disorder	reticulate pigment disorders	網状色素異常症		OMIMPS:179850	
