id	type	val
NANDO:0000001	label_ja	難病
NANDO:0000002	label_ja	obsolete class
NANDO:0000002	description_ja	NANDO number no more in use.
NANDO:1000001	label_ja	指定難病
NANDO:1100001	label_ja	神経・筋疾患
NANDO:1100002	label_ja	代謝系疾患
NANDO:1100003	label_ja	皮膚・結合組織疾患
NANDO:1100004	label_ja	免疫系疾患
NANDO:1100005	label_ja	循環器系疾患
NANDO:1100006	label_ja	血液系疾患
NANDO:1100007	label_ja	腎・泌尿器系疾患
NANDO:1100008	label_ja	骨・関節系疾患
NANDO:1100009	label_ja	内分泌系疾患
NANDO:1100010	label_ja	呼吸器系疾患
NANDO:1100011	label_ja	視覚系疾患
NANDO:1100012	label_ja	聴覚・平衡機能系疾患
NANDO:1100013	label_ja	消化器系疾患
NANDO:1100014	label_ja	染色体または遺伝子に変化を伴う症候群
NANDO:1100015	label_ja	耳鼻科系疾患
NANDO:1200001	label_ja	球脊髄性筋萎縮症
NANDO:1200001	description_ja	通常成人男性に発症する、遺伝性下位運動ニューロン疾患である。四肢の筋力低下及び筋萎縮、球麻痺を主症状とし、女性化乳房など軽度のアンドロゲン不全症や耐糖能異常、脂質異常症などを合併する。筋力低下の発症は通常30～60歳頃で、経過は緩徐進行性である。国際名称は Spinal and Bulbar Muscular Atrophy （SBMA）であるが、Kennedy diseaseとも呼ばれる。
NANDO:1200001	synonym_ja	Kennedy-Alter-Sung症候群 | KAS
NANDO:1200002	label_ja	筋萎縮性側索硬化症
NANDO:1200002	description_ja	主に中年以降に発症し、一次運動ニューロン（上位運動ニューロン）と二次運動ニューロン（下位運動ニューロン）が選択的にかつ進行性に変性・消失していく原因不明の疾患である。病勢の進展は比較的速く、人工呼吸器を用いなければ通常は２～５年で死亡することが多い。
NANDO:1200003	label_ja	脊髄性筋萎縮症
NANDO:1200003	description_ja	脊髄性筋萎縮症（spinal muscular atrophy：SMA）は、脊髄の前角細胞の変性による筋萎縮と進行性筋力低下を特徴とする下位運動ニューロン病である。上位運動ニューロン徴候は伴わない。体幹、四肢の近位部優位の筋力低下、筋萎縮を示す。発症年齢、臨床経過に基づき、I型、II型、III型、IV型に分類される。I、II型の95％にSMN1遺伝子欠失が認められ、III型の約半数、IV型の１～２割においてSMN１遺伝子変異を認める。SMN1遺伝子に変異がなく早期に呼吸障害を来すI型において、IGHMBP2の遺伝子変異を認めることがある。
NANDO:1200004	label_ja	脊髄性筋萎縮症I型
NANDO:1200004	synonym_ja	ウェルドニッヒ・ホフマン病 | 急性乳児型SMA
NANDO:1200005	label_ja	脊髄性筋萎縮症II型
NANDO:1200005	synonym_ja	デュボビッツ病 | 慢性乳児型SMA
NANDO:1200006	label_ja	脊髄性筋萎縮症III型
NANDO:1200006	synonym_ja	クーゲンベルグ・ウェランダー病 | 若年型SMA | 慢性型SMA
NANDO:1200007	label_ja	脊髄性筋萎縮症IV型
NANDO:1200007	synonym_ja	成人型SMA | 成人発症型
NANDO:1200008	label_ja	原発性側索硬化症
NANDO:1200008	description_ja	原発性側索硬化症（primary lateral sclerosis：PLS）は、運動ニューロン疾患のうちで一次（上位）運動ニューロンのみが選択的、進行性に障害され、二次（下位）運動ニューロンは保たれる原因不明の疾患である。若年から中年以降にわたって幅広い年齢層に発症する。原発性側索硬化症は、一次運動ニューロン障害が前面に出た筋萎縮性側索硬化症（amyotrophic lateral sclerosis：ALS）との鑑別が困難な場合があり、前頭側頭葉変性症との関連を指摘する意見もある。しかし、数は少ないものの、PLSの剖検例はALSや前頭側頭葉変性症とは異なる病理像を示しており、これらとは異なる疾患と考えられる。一方、臨床的には家族歴の明らかでない遺伝性痙性対麻痺との鑑別は困難であり、この点に留意する必要がある。　運動ニューロン疾患のうち約1.6～4.4％がPLSと診断されている。我が国で2005年から2006年にかけて全国アンケート調査を実施したところ、日本での有病率は、筋萎縮性側索硬化症症例の２％という結果であった。
