id	label_en	synonym_en	label_ja	synonym_ja
1200001	[指定] Spinal and bulbar muscular atrophy	SBMA|Kennedy disease	[指定] 球脊髄性筋萎縮症	Kennedy-Alter-Sung症候群|KAS
1200002	[指定] Amyotrophic lateral sclerosis	ALS	[指定] 筋萎縮性側索硬化症	
1200003	[指定] Spinal muscular atrophy	SMA	[指定] 脊髄性筋萎縮症	
1200008	[指定] Primary lateral sclerosis	PLS	[指定] 原発性側索硬化症	
1200009	[指定] Progressive supranuclear palsy	PSP	[指定] 進行性核上性麻痺	
1200010	[指定] Parkinson's disease	Parkinson disease|PD	[指定] パーキンソン病	
1200011	[指定] Corticobasal degeneration	CBD	[指定] 大脳皮質基底核変性症	
1200012	[指定] Huntington's disease	Huntington disease	[指定] ハンチントン病	
1200013	[指定] Neuroacanthocytosis		[指定] 神経有棘赤血球症	
1200016	[指定] Charcot-Marie-Tooth disease	CMT	[指定] シャルコー・マリー・トゥース病	
1200020	[指定] Myasthenia gravis	MG	[指定] 重症筋無力症	
1200021	[指定] Congenital myasthenic syndrome	CMS	[指定] 先天性筋無力症候群	
1200022	[指定] Multiple sclerosis/Neuromyelitis optica spectrum disorders	MS/NMOSD|Multiple sclerosis/Neuromyelitis optica|MS/NMO	[指定] 多発性硬化症／視神経脊髄炎	
1200029	[指定] Chronic inflammatory demyelinating polyneuropathy/Multifocal motor neuropathy	CIDP/MMN	[指定] 慢性炎症性脱髄性多発神経炎／多巣性運動ニューロパチー	
1200032	[指定] Sporadic inclusion body myositis	sIBM	[指定] 封入体筋炎	
1200033	[指定] Crow-Fukase syndrome	"POEMS syndrome|Polyneuropathy, organomegaly, endocrinopathy, M-protein, and skin changes syndrome"	[指定] クロウ・深瀬症候群	POEMS症候群
1200034	[指定] Multiple system atrophy	MSA	[指定] 多系統萎縮症	
1200037	[指定] Spinocerebellar degeneration	SCD	[指定] 脊髄小脳変性症	
1200055	[指定] Lysosomal storage disease		[指定] ライソゾーム病	
1200165	[指定] Adrenoleukodystrophy		[指定] 副腎白質ジストロフィー	
1200173	[指定] Mitochondrial diseases		[指定] ミトコンドリア病	ミトコンドリア脳筋症
1200183	[指定] Moyamoya disease		[指定] もやもや病	ウィリス動脈輪閉塞症
1200186	[指定] Prion disease		[指定] プリオン病	
1200195	[指定] Subacute sclerosing panencephalitis	SSPE	[指定] 亜急性硬化性全脳炎	
1200205	[指定] Progressive multifocal leukoencephalopathy	PML	[指定] 進行性多巣性白質脳症	
1200206	[指定] HTLV-1-associated myelopathy	HAM	[指定] HTLV-1関連脊髄症	HAM
1200207	[指定] Idiopathic basal ganglia calcification	IBGC	[指定] 特発性基底核石灰化症	
1200209	[指定] Systemic amyloidosis		[指定] 全身性アミロイドーシス	
1200215	[指定] Ullrich disease	Ullrich's disease|Ullrich congenital muscular dystrophy	[指定] ウルリッヒ病	ウルリッヒ型先天性筋ジストロフィー
1200216	[指定] Distal myopathy		[指定] 遠位型ミオパチー	
1200220	[指定] Bethlem Myopathy		[指定] ベスレムミオパチー	
1200221	[指定] Autophagic vacuolar myopathy		[指定] 自己貪食空胞性ミオパチー	
1200224	[指定] Schwartz-Jampel syndrome	SJS	[指定] シュワルツ・ヤンペル症候群	Schwartz-Jampel症候群
1200225	[指定] Neurofibromatosis		[指定] 神経線維腫症	
1200228	[指定] Pemphigus		[指定] 天疱瘡	
1200234	[指定] Epidermolysis bullosa		[指定] 表皮水疱症	
1200240	[指定] Pustular psoriasis	Generalized pustular psoriasis|GPP	[指定] 膿疱性乾癬（汎発型）	
1200245	[指定] Stevens-Johnson syndrome	SJS	[指定] スティーヴンス・ジョンソン症候群	皮膚粘膜眼症候群|Stevens-Johnson症候群
1200246	[指定] Toxic epidermal necrolysis	TEN	[指定] 中毒性表皮壊死症	
1200251	[指定] Takayasu arteritis	Aortitis syndrome|Takayasu's arteritis	[指定] 高安動脈炎	
1200258	[指定] Giant cell arteritis	GCA	[指定] 巨細胞性動脈炎	
1200261	[指定] Polyarteritis nodosa	Periarteritis nodosa|PAN	[指定] 結節性多発動脈炎	結節性動脈周囲炎
1200262	[指定] Microscopic polyangiitis	MPA	[指定] 顕微鏡的多発血管炎	
1200263	[指定] Granulomatosis with polyangiitis	Wegeners granulomatosis|GPA	[指定] 多発血管炎性肉芽腫症	ウェゲナー肉芽腫症
1200264	[指定] Eosinophilic granulomatosis with polyangiitis	EGPA|Allergic granulomatous angiitis|Churg Strauss syndrome	[指定] 好酸球性多発血管炎性肉芽腫症	アレルギー性肉芽腫性血管炎|チャーグ・ストラウス症候群
1200265	[指定] Rheumatoid vasculitis	Rheumatoid arthritis with vasculitis|Malignant rheumatoid arthritis	[指定] 悪性関節リウマチ	リウマトイド血管炎|血管炎を伴う関節リウマチ
1200266	[指定] Buerger's disease	Thromboangiitis obliterans|TAO	[指定] バージャー病	ビュルガー病|閉塞性血栓血管炎
1200267	[指定] Primary antiphospholipid antibody syndrome	Primary antiphospholipid syndrome|Primary APS	[指定] 原発性抗リン脂質抗体症候群	原発性APS
1200272	[指定] Systemic lupus erythematosus		[指定] 全身性エリテマトーデス	
1200273	[指定] Dermatomyositis/Polymyositis	DM/PM	[指定] 皮膚筋炎／多発性筋炎	
1200277	[指定] Systemic sclerosis	Systemic scleroderma	[指定] 全身性強皮症	
1200278	[指定] Mixed connective tissue disease	MCTD	[指定] 混合性結合組織病	
1200279	[指定] Sjogren's syndrome	Sjogren syndrome|Sjögren's syndrome	[指定] シェーグレン症候群	Sjogren症候群
1200282	[指定] Adult Still's disease	Adult Still disease|Adult-onset Still disease|AOSD	[指定] 成人スチル病	成人Still病
1200283	[指定] Relapsing polychondritis	RP	[指定] 再発性多発軟骨炎	
1200284	[指定] Behcet's disease	Behcet disease	[指定] ベーチェット病	
1200285	[指定] Idiopathic dilated cardiomyopathy		[指定] 特発性拡張型心筋症	
1200286	[指定] Hypertrophic cardiomyopathy	HCM	[指定] 肥大型心筋症	
1200292	[指定] Restrictive cardiomyopathy	Restricted cardiomyopathy	[指定] 拘束型心筋症	
1200295	[指定] Aplastic anemia	Aplastic anaemia	[指定] 再生不良性貧血	
1200305	[指定] Autoimmune hemolytic anemia	Autoimmune haemolytic anaemia|AIHA	[指定] 自己免疫性溶血性貧血	
1200311	[指定] Paroxysmal nocturnal hemoglobinuria	Paroxysmal nocturnal haemoglobinuria|PNH	[指定] 発作性夜間ヘモグロビン尿症	
1200315	[指定] Idiopathic thrombocytopenic purpura	Primary immune thrombocytopenia	[指定] 特発性血小板減少性紫斑病	
1200316	[指定] Thrombotic thrombocytopenic purpura	TTP	[指定] 血栓性血小板減少性紫斑病	
1200320	[指定] Primary immunodeficiency syndrome	Primary immunodeficiency disease|PID	[指定] 原発性免疫不全症候群	
1200366	[指定] IgA nephropathy		[指定] IgＡ腎症	
1200367	[指定] Polycystic kidney disease	Polycystic kidney|PKD	[指定] 多発性嚢胞腎	
1200370	[指定] Ossification of ligamentum flavum	Ossification of the ligamentum flavum|OLF	[指定] 黄色靱帯骨化症	
1200371	[指定] Ossification of posterior longitudinal ligament	OPLL|Ossification of the posterior longitudinal ligament	[指定] 後縦靱帯骨化症	OPLL
1200372	[指定] Coexisting cervical and lumbar spinal stenosis		[指定] 広範脊柱管狭窄症	
1200373	[指定] Idiopathic osteonecrosis of femoral head	Idiopathic osteonecrosis of the femoral head|ION	[指定] 特発性大腿骨頭壊死症	
1200374	[指定] Diencephalo-hypophysial insufficiency-inappropriate ADH syndrome	Pituitary ADH secretion disorders|Syndrome of inappropriate ADH secretion|SIADH	[指定] 下垂体性ADH分泌異常症	
1200377	[指定] Diencephalo-hypophysial insufficiency-inappropriate thyroid stimulating hormone syndrome	TSH-secreting pituitary adenoma|Syndrome of inappropriate thyroid-stimulating hormone secretion|Syndrome of inappropriate TSH secretion	[指定] 下垂体性TSH分泌亢進症	
1200378	[指定] Diencephalo-hypophysial insufficiency-inappropriate prolactin syndrome	Prolactin secreting pituitary adenoma|PRL-secreting pituitary adenoma|Inappropriate prolactin secretion syndrome	[指定] 下垂体性PRL分泌亢進症	
1200379	[指定] Cushing disease	Cushing's Disease	[指定] クッシング病	Cushing病
1200380	[指定] Diencephalo-hypophysial dysfunction-syndrome of abnormal secretion of gonadotropin	Pituitary gonadotropin secretion hyperthyroidism	[指定] 下垂体性ゴナドトロピン分泌亢進症	
1200386	[指定] Diencephalo-hypophysial dysfunction-syndrome of abnormal secretion of growth hormone	Growth hormone secreting pituitary adenoma	[指定] 下垂体性成長ホルモン分泌亢進症	
1200387	[指定] Hypopituitarism syndrome	Hypopituitarism	[指定] 下垂体前葉機能低下症	
1200394	[指定] Homozygous familial hypercholesterolemia	Homozygous familial hypercholesterolaemia|Homozygous FH	[指定] 家族性高コレステロール血症ホモ接合体	FHホモ接合体
1200395	[指定] Resistance to thyroid hormone	Syndrome of Resistance to Thyroid Hormone|RTH|Thyroid hormone insensitivity syndrome	[指定] 甲状腺ホルモン不応症	
1200396	[指定] Congenital adrenal enzyme deficiency	Congenital adrenal hyperplasia|Congenial adrenal cortex enzyme deficiency	[指定] 先天性副腎皮質酵素欠損症	
1200403	[指定] Congenital adrenal hypoplasia		[指定] 先天性副腎低形成症	常染色体性先天性副腎低形成
1200411	[指定] Addison's disease	Primary chronic adrenocortical insufficiency|Addison disease	[指定] アジソン病	Addison病
1200415	[指定] Sarcoidosis		[指定] サルコイドーシス	
1200416	[指定] Idiopathic interstitial pneumonia	IIPs	[指定] 特発性間質性肺炎	
