panel_name	mondo_id	gene_symbol_list
congenital enteropathy involving intestinal mucosa development	MONDO:0015182	EPCAM | MYO5B | NEUROG3 | STX3
posterior column ataxia-retinitis pigmentosa syndrome	MONDO:0012177	FLVCR1
isolated cryptophthalmia	MONDO:0007410	FREM2
maternally-inherited Leigh syndrome	MONDO:0016814	MT-ATP6 | MT-ND1 | MT-ND2 | MT-ND3 | MT-ND4 | MT-ND5 | MT-ND6 | MT-TK | MT-TL1 | MT-TV | MT-TW
rare odontologic disease	MONDO:0020013	ABCA5 | ACP4 | ALPL | AMBN | AMELX | AMTN | ANKRD11 | ANTXR1 | ANTXR2 | ATP6V1B2 | AXIN2 | BCOR | BMP1 | BRF1 | C1R | C1S | CDH1 | CHSY1 | CNNM4 | COG6 | COL17A1 | COL1A1 | COL1A2 | COL5A1 | COL5A2 | CREB3L1 | CRTAP | CSTB | CTNND1 | CTSC | DLX3 | DSP | DSPP | EDA | EDA2R | EDAR | EDARADD | ELMO2 | ENAM | FADD | FAM20A | FAM83H | FGF10 | FGF3 | FGFR1 | FGFR2 | FGFR3 | FKBP10 | FLNA | GJA1 | GPR68 | GREM2 | IKBKG | IL11RA | IRF6 | ITGA3 | ITGA6 | ITGB4 | ITGB6 | KCNH1 | KCNN3 | KDF1 | KLK4 | LAMA3 | LAMB3 | LAMC2 | LRP6 | LTBP3 | MMP20 | MSX1 | NFKBIA | NHS | ODAPH | P3H1 | PAX9 | PEX1 | PEX6 | PIK3C2A | PLEC | PLOD2 | PPIB | PTH1R | RELT | REST | ROGDI | RUNX2 | SASH1 | SERPINF1 | SERPINH1 | SH3BP2 | SHH | SLC13A5 | SLC24A4 | SMARCAL1 | SMOC2 | SOS1 | SP7 | SPARC | SSUH2 | SUMO1 | TGFA | TMEM38B | TNXB | TP63 | TRAF6 | TRIP11 | VPS4B | WDR72 | WNT1 | WNT10A | WNT10B
partial atrioventricular canal	MONDO:0015275	CRELD1 | GATA4 | GATA6 | NR2F2
visceral malformation of the liver, biliary tract, pancreas or spleen	MONDO:0020020	B9D1 | B9D2 | CC2D2A | CEP290 | CEP55 | CFC1 | CNOT1 | CSPP1 | GPC1 | JAG1 | KIF14 | MKS1 | NEK8 | NOTCH2 | NPHP3 | PDX1 | PKHD1 | PTF1A | RFX6 | RPGRIP1 | RPGRIP1L | RPSA | TCTN2 | TMEM107 | TMEM216 | TMEM231 | TMEM67 | WDPCP
muscle tissue disease	MONDO:0003939	A2ML1 | ABCC6 | ABCC9 | ABHD5 | ACAD8 | ACAD9 | ACADS | ACADVL | ACTA1 | ACTC1 | ACTN2 | ADSS1 | AGK | AGL | AGTPBP1 | AKR1C2 | AKR1C4 | ALMS1 | ALPK3 | AMPD1 | AMPD3 | ANKRD1 | ANO5 | AR | ATAD3A | ATP2A1 | ATP7A | B3GALNT2 | B4GAT1 | BAG3 | BICD2 | BIN1 | BRAF | BSCL2 | BVES | CACNA1S | CAP2 | CAPN3 | CASQ1 | CAV1 | CAV3 | CAVIN1 | CBL | CBX2 | CCDC174 | CCDC78 | CCN2 | CCR6 | CDH2 | CDKN1C | CFL2 | CHCHD10 | CHKB | CHST14 | CLCN1 | CNBP | CNTN1 | COA5 | COA6 | COL12A1 | COL25A1 | COL4A1 | COL6A1 | COL6A2 | COL6A3 | COQ4 | COQ9 | COX15 | CPT2 | CREB3L1 | CREB3L2 | CRPPA | CRYAB | CSRP3 | CTNNA3 | DAG1 | DCTN1 | DES | DGUOK | DHH | DHX37 | DMD | DMPK | DMRT1 | DNA2 | DNAJB2 | DNAJB6 | DNAJC19 | DNM2 | DNMT3B | DOLK | DPM2 | DPM3 | DSC2 | DSE | DSG2 | DSP | DTNA | DUX4 | DUX4L1 | DYNC1H1 | DYSF | ECEL1 | ELAC2 | EMD | ENO3 | ENPP1 | EPG5 | ETFA | ETFB | ETFDH | ETV6 | EXOSC3 | EXOSC8 | EXOSC9 | EYA4 | FBN2 | FBXO38 | FDX2 | FGFR1 | FH | FHL1 | FHL2 | FIP1L1 | FKRP | FKTN | FLAD1 | FLNC | FOXO1 | FOXRED1 | FRG1 | FUCA1 | FUS | FXN | GAA | GABRA3 | GABRD | GARS1 | GATA6 | GATAD1 | GBA | GBE1 | GFER | GIPC1 | GJA5 | GLA | GMPPB | GNE | GTPBP3 | GYG1 | GYS1 | H19 | HACD1 | HADHA | HADHB | HAND2 | HCN4 | HLA-DRB1 | HNRNPA1 | HNRNPA2B1 | HNRNPDL | HRAS | HSPB1 | HSPB3 | HSPB8 | HSPG2 | IDS | IDUA | IGF2 | IGHMBP2 | INPP5K | IRF5 | ISCU | ITGA7 | JPH2 | JUP | KBTBD13 | KCNA1 | KCNAB2 | KCNE3 | KCNJ18 | KCNJ2 | KCNJ5 | KCNQ1 | KCNQ1OT1 | KIAA0319L | KIF20A | KIF21A | KLHL40 | KLHL41 | KLHL9 | KRAS | KY | LAMA2 | LAMA4 | LAMP2 | LARGE1 | LDB3 | LDHA | LIMS2 | LMNA | LMOD3 | LPIN1 | LRP12 | LTBP4 | LZTR1 | MAMLD1 | MANBA | MAP2K1 | MAP2K2 | MAP3K1 | MAP3K20 | MAPK1 | MATR3 | MEGF10 | MIB1 | MIB2 | MICU1 | MIPEP | MRAS | MRPL44 | MSTN | MSTO1 | MT-ATP6 | MT-ATP8 | MT-CO1 | MT-CO2 | MT-CO3 | MT-CYB | MT-ND1 | MT-ND2 | MT-ND3 | MT-ND4 | MT-ND4L | MT-ND5 | MT-ND6 | MT-RNR1 | MT-TC | MT-TE | MT-TF | MT-TH | MT-TI | MT-TK | MT-TL1 | MT-TL2 | MT-TN | MT-TP | MT-TQ | MT-TS1 | MT-TS2 | MT-TT | MT-TV | MT-TW | MTM1 | MTMR14 | MTO1 | MYBPC1 | MYBPC3 | MYF6 | MYH14 | MYH2 | MYH3 | MYH6 | MYH7 | MYH7B | MYH8 | MYL1 | MYL2 | MYL3 | MYLK2 | MYLPF | MYO18B | MYO6 | MYOT | MYOZ2 | MYPN | NAIP | NALCN | NDUFA1 | NDUFS1 | NDUFS2 | NDUFS4 | NDUFS7 | NDUFS8 | NDUFV1 | NEB | NEBL | NEXN | NOTCH3 | NPPA | NR0B1 | NR5A1 | NRAS | NSD1 | NUBPL | ORAI1 | PABPN1 | PAX3 | PAX7 | PDGFRA | PDGFRB | PFKM | PGAM2 | PGK1 | PGM1 | PHKA1 | PHKB | PHKG1 | PHOX2A | PIEZO2 | PKP2 | PLEC | PLEKHG5 | PLEKHM2 | PLN | PNPLA2 | PNPLA8 | POGLUT1 | POLG | POLG2 | POMGNT1 | POMGNT2 | POMK | POMT1 | POMT2 | POPDC3 | PPCS | PPP1CB | PRDM16 | PRICKLE3 | PRKAG2 | PSEN1 | PSEN2 | PTPN11 | PUS1 | PYGM | PYROXD1 | RAF1 | RARS2 | RASA2 | RBCK1 | RBM20 | REEP1 | RERE | RIT1 | RNASEH1 | RRAS | RRAS2 | RRM2B | RXYLT1 | RYR1 | RYR2 | SAA1 | SCARB2 | SCN4A | SCN5A | SCO1 | SCO2 | SDHA | SDHAF1 | SDHB | SDHD | SELENON | SEPSECS | SGCA | SGCB | SGCD | SGCG | SHOC2 | SIGMAR1 | SKI | SLC12A6 | SLC16A1 | SLC22A18 | SLC22A5 | SLC25A20 | SLC25A3 | SLC25A32 | SLC25A4 | SLC35A3 | SLC5A7 | SMCHD1 | SMN1 | SMN2 | SOS1 | SOS2 | SOX9 | SPEG | SPRED1 | SQSTM1 | SRY | STAC3 | STIM1 | SVIL | SYNE1 | SYNE2 | TAF1A | TAFAZZIN | TCAP | TGFB3 | TIA1 | TK2 | TKFC | TMEM43 | TMPO | TNNC1 | TNNI2 | TNNI3 | TNNI3K | TNNT1 | TNNT2 | TNNT3 | TNPO3 | TOP3A | TOR1AIP1 | TPM1 | TPM2 | TPM3 | TRAPPC11 | TRIM32 | TRIP4 | TRMU | TRPV4 | TSEN15 | TSEN2 | TSEN34 | TSEN54 | TTN | TTR | TUBB2B | TUBB3 | TWNK | TXNRD2 | TYMP | UBA1 | VAPB | VCL | VCP | VMA21 | VRK1 | WT1 | XK | XYLT1 | XYLT2 | YARS2 | ZC4H2 | ZFPM2
xanthinuria	MONDO:0000721	MOCOS | XDH
Roberts syndrome	MONDO:0009997	ESCO2
progressive familial intrahepatic cholestasis type 3	MONDO:0011214	ABCB4
age related macular degeneration 13	MONDO:0014189	CFI
pituitary adenoma, growth hormone-secreting, 2	MONDO:0010492	GPR101
TPM2-related myopathy	MONDO:0100196	RYR1 | TPM2
ovarian neoplasm	MONDO:0021068	AKT1 | BARD1 | BRCA1 | BRCA2 | BRIP1 | CDH1 | CHEK2 | CTNNB1 | DICER1 | FOXL2 | INHBA | MRE11 | NBN | OPCML | PALB2 | PIK3CA | PRKN | PTEN | RAD50 | RAD51 | RAD51C | RAD51D | SMARCA4 | TP53
autosomal recessive nonsyndromic deafness 53	MONDO:0012333	COL11A2
LAMB2-related infantile-onset nephrotic syndrome	MONDO:0013621	LAMB2
thrombocytopenia 5	MONDO:0014536	ETV6
coenzyme Q10 deficiency, primary, 1	MONDO:0011829	COQ2 | COQ9
birdshot chorioretinopathy	MONDO:0011599	HLA-A
isobutyryl-CoA dehydrogenase deficiency	MONDO:0012648	ACAD8
classic or attenuated familial adenomatous polyposis	MONDO:0021057	APC | AXIN2 | MSH3 | MUTYH | NTHL1 | POLD1 | POLE
congenital myopathy with myasthenic-like onset	MONDO:0018528	RYR1
primary interstitial lung disease specific to childhood	MONDO:0017015	ABCA3 | CSF2RA | CSF2RB | FOXF1 | ITGA3 | MARS1 | NKX2-1 | SFTPB | SFTPC
acrodermatitis continua suppurativa of Hallopeau	MONDO:0015598	AP1S3 | IL36RN
Joubert syndrome 27	MONDO:0014927	B9D1
autosomal recessive nonsyndromic deafness 32	MONDO:0012091	CDC14A
pachydermoperiostosis	MONDO:0009799	HPGD | SLCO2A1
familial multiple meningioma	MONDO:0016995	MN1 | PDGFB | SMARCB1 | SMARCE1 | SUFU
distal arthrogryposis	MONDO:0019942	CHST14 | DSE | ECEL1 | FBN2 | MYBPC1 | MYH3 | MYH8 | MYLPF | NALCN | PIEZO2 | SLC35A3 | TNNI2 | TNNT3 | TPM2
muscular dystrophy, limb-girdle, autosomal recessive 23	MONDO:0029136	LAMA2
multiple endocrine neoplasia type 1	MONDO:0007540	CDKN1A | CDKN1B | CDKN2B | CDKN2C | MEN1
macrocephaly-autism syndrome	MONDO:0011537	HEPACAM | PTEN
unclassified primitive or secondary maculopathy	MONDO:0020244	ABCA4 | ADAM9 | AIPL1 | ALDH3A2 | AP3B1 | ARL6 | ARSA | ASAH1 | ATF6 | ATP13A2 | BBIP1 | BBS1 | BBS10 | BBS12 | BBS2 | BBS4 | BBS5 | BBS7 | BBS9 | CACNA1F | CACNA2D4 | CCDC28B | CDH3 | CDHR1 | CEP290 | CFAP410 | CFAP418 | CLCN7 | CLN3 | CLN5 | CLN6 | CLN8 | CNGA3 | COQ2 | COQ9 | COX10 | COX15 | CREBBP | CRX | CTSA | CTSD | CTSF | DNAJC5 | DRAM2 | EARS2 | ECHS1 | EP300 | ETHE1 | FBXL4 | FOXRED1 | GALC | GLB1 | GRN | GUCA1A | GUCY2D | IFT172 | IFT27 | IFT74 | KCTD7 | LIPT1 | LRPPRC | LZTFL1 | MCOLN1 | MFSD8 | MKKS | MKS1 | MT-ATP6 | MT-ND1 | MT-ND2 | MT-ND3 | MT-ND4 | MT-ND5 | MT-ND6 | MT-TK | MT-TL1 | MT-TV | MT-TW | MTFMT | NDUFA10 | NDUFA12 | NDUFA13 | NDUFA2 | NDUFA4 | NDUFA9 | NDUFAF2 | NDUFAF3 | NDUFAF5 | NDUFAF6 | NDUFB8 | NDUFS1 | NDUFS2 | NDUFS3 | NDUFS4 | NDUFS7 | NDUFS8 | NDUFV1 | NDUFV2 | NMNAT1 | NPHP1 | OPN1LW | OPN1MW | PAX6 | PDHA1 | PDSS2 | PET100 | PEX1 | PEX10 | PEX11B | PEX12 | PEX13 | PEX14 | PEX16 | PEX19 | PEX2 | PEX26 | PEX3 | PEX5 | PEX6 | PEX7 | PITPNM3 | PNPLA6 | POC1B | PPT1 | PROM1 | PRPH2 | PSAP | RAB28 | RAX2 | RIMS1 | RLBP1 | RPGR | RPGRIP1 | RS1 | SCO2 | SDCCAG8 | SDHA | SEMA4A | SERAC1 | SLC19A3 | SUCLA2 | SURF1 | TACO1 | TIMP3 | TMEM67 | TPP1 | TRIM32 | TTC19 | TTC8 | TTLL5 | UNC119 | WDPCP
familial hyperaldosteronism type III	MONDO:0013359	KCNJ5
congenital disorder of glycosylation with neurological involvement	MONDO:0018284	ALG1 | ALG11 | ALG12 | ALG13 | ALG14 | ALG2 | ALG3 | ALG6 | ALG8 | ALG9 | ATP6V0A2 | ATP6V1A | ATP6V1E1 | B3GALNT2 | B3GLCT | B4GALT1 | B4GAT1 | CHST14 | CHSY1 | COG1 | COG2 | COG4 | COG5 | COG6 | COG7 | COG8 | COL4A1 | CRPPA | DAG1 | DDOST | DOLK | DPAGT1 | DPM1 | DPM2 | DPM3 | DSE | EXT2 | FKRP | FKTN | GFPT1 | GMPPB | GNE | KCTD7 | LARGE1 | MAN1B1 | MGAT2 | MOGS | MPDU1 | MPI | PIGA | PIGG | PIGL | PIGM | PIGN | PIGW | PMM2 | POMGNT1 | POMGNT2 | POMK | POMT1 | POMT2 | RFT1 | RXYLT1 | SLC35A1 | SLC35A2 | SLC35A3 | SLC35C1 | SRD5A3 | SSR4 | ST3GAL5 | STT3A | STT3B | TMEM165 | XYLT1
paragangliomas 3	MONDO:0011544	SDHC
