panel_name	nando_id	gene_symbol_list
panels for genetic testing	NANDO:0000003	
Neuromuscular disease	NANDO:1100001	
Metabolic disease	NANDO:1100002	
Skin and connective tissue disease	NANDO:1100003	
Immune system disease	NANDO:1100004	
Cardiovascular disease	NANDO:1100005	
Blood disease	NANDO:1100006	
Renal and urological disease	NANDO:1100007	
Bone and joint disease	NANDO:1100008	
Endocrine disease	NANDO:1100009	
Respiratory disease	NANDO:1100010	
Eye and visual system disease	NANDO:1100011	
Hearing and balance disorder	NANDO:1100012	
Gastrointestinal disease	NANDO:1100013	
Chromosome abnormality	NANDO:1100014	
Otorhinolaryngological disease	NANDO:1100015	
Spinal and bulbar muscular atrophy	NANDO:1200001	AR
Amyotrophic lateral sclerosis	NANDO:1200002	ALS2 | ANG | ANXA11 | ATXN2 | C9orf72 | CCNF | CFAP410 | CHCHD10 | CHMP2B | CYLD | DAO | DCTN1 | ERBB4 | FIG4 | FUS | GLE1 | GLT8D1 | HNRNPA1 | LRP12 | MATR3 | NEFH | NEK1 | OPTN | PFN1 | PON1 | PON2 | PON3 | PPARGC1A | PRPH | SETX | SIGMAR1 | SOD1 | SPG11 | SPTLC1 | SQSTM1 | TAF15 | TARDBP | TBK1 | TIA1 | TREM2 | TUBA4A | UBQLN2 | UNC13A | VAPB | VCP
Spinal muscular atrophy	NANDO:1200003	AGTPBP1 | ASAH1 | ATP7A | BICD2 | BSCL2 | CHCHD10 | DCTN1 | DNAJB2 | DYNC1H1 | EMILIN1 | EXOSC3 | EXOSC8 | EXOSC9 | FBXO38 | GARS1 | HSPB1 | HSPB3 | HSPB8 | IGHMBP2 | LAS1L | MYH14 | NAIP | PLEKHG5 | REEP1 | SEPSECS | SIGMAR1 | SLC25A46 | SLC5A7 | SMN1 | SMN2 | SPTAN1 | TRPV4 | TSEN15 | TSEN2 | TSEN34 | TSEN54 | UBA1 | VAPB | VRK1 | VWA1 | WARS1
Spinal muscular atrophy type I	NANDO:1200004	NAIP | SMN1 | SMN2
Spinal muscular atrophy type II	NANDO:1200005	NAIP | SMN1 | SMN2
Spinal muscular atrophy type III	NANDO:1200006	NAIP | SMN1 | SMN2
Spinal muscular atrophy type IV	NANDO:1200007	SMN1 | SMN2
Primary lateral sclerosis	NANDO:1200008	ALS2 | ERLIN2 | SPG7
Progressive supranuclear palsy	NANDO:1200009	MAPT
Parkinson's disease	NANDO:1200010	ADH1C | ATP13A2 | ATXN2 | ATXN3 | ATXN8OS | CHCHD2 | DNAJC13 | DNAJC6 | EIF4G1 | FBXO7 | GBA1 | GIGYF2 | HTRA2 | LRRK2 | MAPT | NR4A2 | PARK7 | PINK1 | PLA2G6 | PODXL | PRKN | PTPA | SNCA | SNCAIP | SYNJ1 | TBP | TRNT | UCHL1 | VPS13C | VPS35
Corticobasal degeneration	NANDO:1200011	
Huntington's disease	NANDO:1200012	HTT | SLC2A3
Neuroacanthocytosis	NANDO:1200013	JPH3 | PANK2 | VPS13A | XK
Chorea-acanthocytosis	NANDO:1200014	VPS13A
McLeod syndrome	NANDO:1200015	XK
Charcot-Marie-Tooth disease	NANDO:1200016	AARS1 | AIFM1 | ATP1A1 | CADM3 | COX6A1 | DCAF8 | DGAT2 | DHTKD1 | DNAJB2 | DNM2 | DYNC1H1 | EGR2 | FBLN5 | FGD4 | FIG4 | GARS1 | GBF1 | GDAP1 | GJB1 | GNB4 | HARS1 | HINT1 | HK1 | HSPB1 | HSPB8 | IGHMBP2 | INF2 | ITPR3 | JAG1 | JPH1 | KARS1 | KIF1B | KIF5A | LITAF | LMNA | LRSAM1 | MARS1 | MED25 | MFN2 | MME | MORC2 | MPV17 | MPZ | MTMR2 | NAGLU | NDRG1 | NEFH | NEFL | PDK3 | PLEKHG5 | PMP2 | PMP22 | PNKP | POLR3B | PRPS1 | PRX | RAB7A | SBF1 | SBF2 | SH3TC2 | SLC12A6 | SORD | SPG11 | SURF1 | TFG | TRIM2 | TRPV4 | VCP | YARS1
Charcot-Marie-Tooth disease type 1	NANDO:1200017	EGR2 | LITAF | MPZ | NEFL | PMP22
Charcot-Marie-Tooth disease type 2	NANDO:1200018	AARS1 | ATP1A1 | DCAF8 | DGAT2 | DHTKD1 | DNAJB2 | DNM2 | DYNC1H1 | GARS1 | GDAP1 | HARS1 | HSPB1 | HSPB8 | IGHMBP2 | JPH1 | KIF1B | KIF5A | LMNA | LRSAM1 | MARS1 | MED25 | MFN2 | MME | MORC2 | MPV17 | MPZ | NAGLU | NEFH | NEFL | PNKP | RAB7A | SPG11 | TFG | TRIM2 | TRPV4 | VCP
Intermediate Charcot-Marie-Tooth disease	NANDO:1200019	COX6A1 | DNM2 | GBF1 | GDAP1 | GNB4 | INF2 | KARS1 | MPZ | NEFL | PLEKHG5 | YARS1
Myasthenia gravis	NANDO:1200020	CTLA4 | HLA-DQA1 | TNFRSF11A
Congenital myasthenic syndrome	NANDO:1200021	AGRN | AK9 | ALG14 | ALG2 | CHAT | CHRNA1 | CHRNB1 | CHRND | CHRNE | COL13A1 | COLQ | DOK7 | DPAGT1 | GFPT1 | LRP4 | MUSK | MYO9A | PREPL | RAPSN | SCN4A | SLC18A3 | SLC25A1 | SLC5A7 | SNAP25 | SYT2 | VAMP1
Multiple sclerosis/Neuromyelitis optica spectrum disorders	NANDO:1200022	
Multiple sclerosis	NANDO:1200023	HLA-DQB1 | HLA-DRB1
Relapsing-remitting multiple sclerosis	NANDO:1200024	
Primary progressive multiple sclerosis	NANDO:1200025	
Secondary progressive multiple sclerosis	NANDO:1200026	
Neuromyelitis optica spectrum disorders	NANDO:1200027	
Baló concentric sclerosis	NANDO:1200028	
